調査年 コード,調査年,地域 コード,地域,事業所数,事業所数（宿泊業、飲食サービス業）,農家数（販売農家）,標準財政規模,人口密度,65歳以上人口割合,第3次産業就業者比率
2020100000,2020年度,4321,宮城県 大河原町,***,***,***,5247285,1319.8,27.661,65.07
2020100000,2020年度,4322,宮城県 村田町,***,***,***,3763234,290.2,35.477,58.2
2020100000,2020年度,4323,宮城県 柴田町,***,***,***,8119418,1090.3,28.826,64.5
2020100000,2020年度,4324,宮城県 川崎町,***,***,***,3525461,132,38.466,57.25
2020100000,2020年度,4341,宮城県 丸森町,***,***,***,5201864,150.6,43.166,46.3
2020100000,2020年度,4361,宮城県 亘理町,***,***,***,7474163,536.8,31.399,60.29
2020100000,2020年度,4362,宮城県 山元町,***,***,***,4198976,281.3,41.034,55.54
2020100000,2020年度,4401,宮城県 松島町,***,***,***,4033554,513.2,39.143,73.84
2020100000,2020年度,4404,宮城県 七ヶ浜町,***,***,***,4277539,1621.8,31.127,71.04
2020100000,2020年度,4406,宮城県 利府町,***,***,***,7086843,1545.1,24.584,74.7
2020100000,2020年度,4421,宮城県 大和町,***,***,***,7617321,448,22.587,60.4
2020100000,2020年度,4422,宮城県 大郷町,***,***,***,2975179,172.9,38.615,59.44
2020100000,2020年度,4424,宮城県 大衡村,***,***,***,2643097,183.7,29.219,52.8
2020100000,2020年度,4444,宮城県 色麻町,***,***,***,3099414,143.8,34.981,46.94
2020100000,2020年度,4445,宮城県 加美町,***,***,***,8971569,166.4,37.082,50.91
2020100000,2020年度,4501,宮城県 涌谷町,***,***,***,4863124,258.9,37.666,54.39
2020100000,2020年度,4505,宮城県 美里町,***,***,***,7089885,320.5,35.621,60.69
2020100000,2020年度,4581,宮城県 女川町,***,***,***,3603199,678.3,36.283,54.29
