調査年 コード,調査年,地域 コード,地域,人口密度,65歳以上人口割合,標準財政規模,第1次産業就業者比率
2020100000,2020年度,1409,北海道 赤井川村,67.5,30.987,1382761,29.08
2020100000,2020年度,1423,北海道 南幌町,91.6,34.909,3243515,17.1
2020100000,2020年度,1424,北海道 奈井江町,130.2,42.754,3082006,16.02
2020100000,2020年度,1425,北海道 上砂川町,522.2,51.32,1911453,1.92
2020100000,2020年度,1427,北海道 由仁町,56.9,42.389,3129463,35.62
2020100000,2020年度,1428,北海道 長沼町,68.6,38.575,4703359,30.48
2020100000,2020年度,1429,北海道 栗山町,120.1,41.128,4847319,20.23
2020100000,2020年度,1430,北海道 月形町,60.6,37.28,2439195,31.01
2020100000,2020年度,1431,北海道 浦臼町,32.9,44.861,1692555,47.07
2020100000,2020年度,1432,北海道 新十津川町,58,41.117,4003816,23.47
2020100000,2020年度,1433,北海道 妹背牛町,55.4,47.122,1953573,34.68
2020100000,2020年度,1434,北海道 秩父別町,52.6,42.293,1849417,33.68
2020100000,2020年度,1436,北海道 雨竜町,33.9,42.235,2032647,38.9
2020100000,2020年度,1437,北海道 北竜町,30.5,44.954,1677734,46.26
2020100000,2020年度,1438,北海道 沼田町,37.2,42.626,2550160,29.52
2020100000,2020年度,1452,北海道 鷹栖町,87.3,34.597,3233036,16.84
2020100000,2020年度,1453,北海道 東神楽町,187.4,28.923,3530332,11.77
2020100000,2020年度,1454,北海道 当麻町,89.2,42.079,3417369,27.19
2020100000,2020年度,1455,北海道 比布町,82.8,41.506,2376920,26.7
2020100000,2020年度,1456,北海道 愛別町,57.5,46.296,2124945,29.69
2020100000,2020年度,1457,北海道 上川町,22.2,44.286,3405018,11.71
2020100000,2020年度,1458,北海道 東川町,105,33.185,4360661,16.84
2020100000,2020年度,1459,北海道 美瑛町,30.7,38.777,6210999,30.01
2020100000,2020年度,1460,北海道 上富良野町,86.7,32.026,4333801,17.2
2020100000,2020年度,1461,北海道 中富良野町,70.9,36.573,2700681,38.98
